acronym,name,color_hex_triplet,graph_order,identifier,red,green,blue,parent_identifier,count
SPIV,Spinal vestibular nucleus,#FFB3D9,1004.0,MBA:225,255,179,217,MBA:701,0
SUV,Superior vestibular nucleus,#FFB3D9,1005.0,MBA:217,255,179,217,MBA:701,0
x,Nucleus x,#FFB3D9,1006.0,MBA:765,255,179,217,MBA:370,0
XII,Hypoglossal nucleus,#FFB3D9,1007.0,MBA:773,255,179,217,MBA:370,0
y,Nucleus y,#FFB3D9,1008.0,MBA:781,255,179,217,MBA:370,0
RM,Nucleus raphe magnus,#FFC6E2,1011.0,MBA:206,255,198,226,MBA:379,0
RPA,Nucleus raphe pallidus,#FFC6E2,1012.0,MBA:230,255,198,226,MBA:379,0
RO,Nucleus raphe obscurus,#FFC6E2,1013.0,MBA:222,255,198,226,MBA:379,0
LING,Lingula (I),#FFFC91,1020.0,MBA:912,255,252,145,MBA:645,0
CENT,Central lobule,#FFFC91,1024.0,MBA:920,255,252,145,MBA:645,3
CUL,Culmen,#FFFC91,1033.0,MBA:928,255,252,145,MBA:645,4
DEC,Declive (VI),#FFFC91,1046.0,MBA:936,255,252,145,MBA:645,1
FOTU,Folium-tuber vermis (VII),#FFFC91,1050.0,MBA:944,255,252,145,MBA:645,0
PYR,Pyramus (VIII),#FFFC91,1054.0,MBA:951,255,252,145,MBA:645,0
UVU,Uvula (IX),#FFFC91,1058.0,MBA:957,255,252,145,MBA:645,0
NOD,Nodulus (X),#FFFC91,1062.0,MBA:968,255,252,145,MBA:645,2
SIM,Simple lobule,#FFFC91,1067.0,MBA:1007,255,252,145,MBA:1073,0
AN,Ansiform lobule,#FFFC91,1071.0,MBA:1017,255,252,145,MBA:1073,1
PRM,Paramedian lobule,#FFFC91,1080.0,MBA:1025,255,252,145,MBA:1073,0
COPY,Copula pyramidis,#FFFC91,1084.0,MBA:1033,255,252,145,MBA:1073,0
PFL,Paraflocculus,#FFFC91,1088.0,MBA:1041,255,252,145,MBA:1073,1
FL,Flocculus,#FFFC91,1092.0,MBA:1049,255,252,145,MBA:1073,0
FN,Fastigial nucleus,#FFFDBC,1097.0,MBA:989,255,253,188,MBA:519,0
IP,Interposed nucleus,#FFFDBC,1098.0,MBA:91,255,253,188,MBA:519,0
DN,Dentate nucleus,#FFFDBC,1099.0,MBA:846,255,253,188,MBA:519,0
VeCB,Vestibulocerebellar nucleus,#FFFDBC,1100.0,MBA:589508455,255,253,188,MBA:519,0
tn,terminal nerve,#CCCCCC,1103.0,MBA:885,204,204,204,MBA:967,0
von,vomeronasal nerve,#CCCCCC,1104.0,MBA:949,204,204,204,MBA:967,0
In,olfactory nerve,#CCCCCC,1105.0,MBA:840,204,204,204,MBA:967,14
IIn,optic nerve,#CCCCCC,1112.0,MBA:848,204,204,204,MBA:967,0
IIIn,oculomotor nerve,#CCCCCC,1119.0,MBA:832,204,204,204,MBA:967,0
IVn,trochlear nerve,#CCCCCC,1122.0,MBA:911,204,204,204,MBA:967,0
VIn,abducens nerve,#CCCCCC,1124.0,MBA:710,204,204,204,MBA:967,0
Vn,trigeminal nerve,#CCCCCC,1125.0,MBA:901,204,204,204,MBA:967,0
VIIn,facial nerve,#CCCCCC,1130.0,MBA:798,204,204,204,MBA:967,0
VIIIn,vestibulocochlear nerve,#CCCCCC,1133.0,MBA:933,204,204,204,MBA:967,0
IXn,glossopharyngeal nerve,#CCCCCC,1143.0,MBA:808,204,204,204,MBA:967,0
Xn,vagus nerve,#CCCCCC,1144.0,MBA:917,204,204,204,MBA:967,0
XIn,accessory spinal nerve,#CCCCCC,1146.0,MBA:717,204,204,204,MBA:967,0
XIIn,hypoglossal nerve,#CCCCCC,1147.0,MBA:813,204,204,204,MBA:967,0
vrt,ventral roots,#CCCCCC,1148.0,MBA:925,204,204,204,MBA:967,0
drt,dorsal roots,#CCCCCC,1149.0,MBA:792,204,204,204,MBA:967,0
sst,spinothalamic tract,#CCCCCC,1160.0,MBA:871,204,204,204,MBA:967,0
cbc,cerebellar commissure,#CCCCCC,1172.0,MBA:744,204,204,204,MBA:960,0
cbp,cerebellar peduncles,#CCCCCC,1173.0,MBA:752,204,204,204,MBA:960,0
arb,arbor vitae,#CCCCCC,1188.0,MBA:728,204,204,204,MBA:960,1
cc,corpus callosum,#CCCCCC,1191.0,MBA:776,204,204,204,MBA:983,3
cst,corticospinal tract,#CCCCCC,1200.0,MBA:784,204,204,204,MBA:983,0
lfbst,thalamus related,#CCCCCC,1211.0,MBA:896,204,204,204,MBA:983,0
epsc,cerebral nuclei related,#CCCCCC,1219.0,MBA:760,204,204,204,MBA:1000,0
tsp,tectospinal pathway,#CCCCCC,1226.0,MBA:877,204,204,204,MBA:1000,0
rust,rubrospinal tract,#CCCCCC,1230.0,MBA:863,204,204,204,MBA:1000,0
ctb,central tegmental bundle,#CCCCCC,1233.0,MBA:736,204,204,204,MBA:1000,0
rst,retriculospinal tract,#CCCCCC,1234.0,MBA:855,204,204,204,MBA:1000,0
vsp,vestibulospinal pathway,#CCCCCC,1237.0,MBA:941,204,204,204,MBA:1000,0
mfbc,cerebrum related,#CCCCCC,1239.0,MBA:768,204,204,204,MBA:991,2
mfsbshy,hypothalamus related,#CCCCCC,1261.0,MBA:824,204,204,204,MBA:991,0
RC,rhinocele,#AAAAAA,1294.0,MBA:89,170,170,170,MBA:81,0
SEZ,subependymal zone,#AAAAAA,1295.0,MBA:98,170,170,170,MBA:81,4
chpl,choroid plexus,#AAAAAA,1296.0,MBA:108,170,170,170,MBA:81,0
chfl,choroid fissure,#AAAAAA,1297.0,MBA:116,170,170,170,MBA:81,0
V4r,lateral recess,#AAAAAA,1302.0,MBA:153,170,170,170,MBA:145,0
unassigned,unassigned,#000000,1327.3,,0,0,0,,0
brain-unassigned,"brain, unassigned",#FFFFFF,0.3,MBA:997,255,255,255,,17016
OLF-unassigned,"Olfactory areas, unassigned",#9AD2BD,379.3,MBA:698,154,210,189,,1952
HPF-unassigned,"Hippocampal formation, unassigned",#7ED04B,454.3,MBA:1089,126,208,75,,5466
CTXsp-unassigned,"Cortical subplate, unassigned",#8ADA87,555.3,MBA:703,138,218,135,,0
STR-unassigned,"Striatum, unassigned",#98D6F9,571.3,MBA:477,152,214,249,,164
PAL-unassigned,"Pallidum, unassigned",#8599CC,608.3,MBA:803,133,153,204,,34
TH-unassigned,"Thalamus, unassigned",#FF7080,641.3,MBA:549,255,112,128,,1
HY-unassigned,"Hypothalamus, unassigned",#E64438,715.3,MBA:1097,230,68,56,,5
MB-unassigned,"Midbrain, unassigned",#FF64FF,806.3,MBA:313,255,100,255,,0
P-unassigned,"Pons, unassigned",#FF9B88,883.3,MBA:771,255,155,136,,2
MY-unassigned,"Medulla, unassigned",#FF9BCD,935.3,MBA:354,255,155,205,,1
CB-unassigned,"Cerebellum, unassigned",#F0F080,1014.3,MBA:512,240,240,128,,12
fiber tracts-unassigned,"fiber tracts, unassigned",#CCCCCC,1101.3,MBA:1009,204,204,204,,42
scwm-unassigned,"supra-callosal cerebral white matter, unassigned",#CCCCCC,1189.3,MBA:484682512,204,204,204,,0
VL-unassigned,"lateral ventricle, unassigned",#AAAAAA,1293.3,MBA:81,170,170,170,,14
V3-unassigned,"third ventricle, unassigned",#AAAAAA,1299.3,MBA:129,170,170,170,,0
AQ,cerebral aqueduct,#AAAAAA,1300.3,MBA:140,170,170,170,,0
V4-unassigned,"fourth ventricle, unassigned",#AAAAAA,1301.3,MBA:145,170,170,170,,0
c,"central canal, spinal cord/medulla",#AAAAAA,1303.3,MBA:164,170,170,170,,0
